view,viewLabel,raceId,district,candidate,wuMeasure,wuMeasureLabel,precinctCount,twoCandidateVotes,slope,intercept,rSquared,wuWeakShare,wuStrongShare,weakToStrongDifferencePp,candidateShareAtWeak,candidateShareAtStrong,rawSlopePpPer10PpWu
challenger,Challenger share,first-suffolk,First Suffolk,Latoya Gayle,wu_2021_preliminary_share,2021 preliminary,82,20381,0.37507255927179584,0.3428398635101573,0.08840207179246273,0.16787322432744395,0.34168657221092874,6.519261722625762,0.40580450339186,0.47099712061811766,3.7507255927179584
challenger,Challenger share,first-suffolk,First Suffolk,Latoya Gayle,wu_2021_final_share,2021 final,82,20381,0.6801874063557758,0.06390120337560706,0.6655429545849674,0.47380331614717597,0.7050239293139191,15.727334916587916,0.38617625210852036,0.5434496012743995,6.801874063557758
challenger,Challenger share,first-suffolk,First Suffolk,Latoya Gayle,wu_2025_preliminary_share,2025 preliminary,82,20381,0.8577800163542564,-0.10298399455271129,0.7716618404439736,0.5743002910789112,0.7465105526544822,14.771852099066402,0.38963931852121136,0.5373578395118754,8.577800163542564
challenger,Challenger share,suffolk-middlesex,Suffolk and Middlesex,Daniel Lander,wu_2021_preliminary_share,2021 preliminary,35,8500,0.627079526212945,0.27782407459062713,0.3103747006225196,0.48392691951896394,0.5449949443882709,3.8294508101805356,0.581284738004269,0.6195792461060744,6.27079526212945
challenger,Challenger share,suffolk-middlesex,Suffolk and Middlesex,Daniel Lander,wu_2021_final_share,2021 final,35,8500,0.5438027925908545,0.1957689014192956,0.3189110871255335,0.6990917032523067,0.8172456447788887,6.425244335777182,0.575936921924997,0.6401893652827688,5.438027925908545
challenger,Challenger share,suffolk-middlesex,Suffolk and Middlesex,Daniel Lander,wu_2025_preliminary_share,2025 preliminary,35,8500,0.8080212627127022,-0.057766686840514336,0.348016266109069,0.7779667721518988,0.8638639797261075,6.940677012760721,0.570847006742188,0.6402537768697952,8.080212627127022
challenger,Challenger share,norfolk-suffolk,Norfolk and Suffolk,Persis Yu,wu_2021_preliminary_share,2021 preliminary,39,16146,1.3346422032297507,0.08406993461811041,0.8320840935402789,0.28979168938815575,0.4545190319130361,21.98520633595881,0.47083815342079016,0.6906902167803783,13.346422032297507
challenger,Challenger share,norfolk-suffolk,Norfolk and Suffolk,Persis Yu,wu_2021_final_share,2021 final,39,16146,0.8178588154648045,0.07742775531476831,0.8292505706765989,0.4748133222709494,0.7494239631336406,22.459273344999144,0.46575801663419547,0.6903507500841869,8.178588154648045
challenger,Challenger share,norfolk-suffolk,Norfolk and Suffolk,Persis Yu,wu_2025_preliminary_share,2025 preliminary,39,16146,1.0000292578356884,-0.14416108351681312,0.8130187144503955,0.6012441687394487,0.8381465570758114,23.69093195875148,0.45710067632573326,0.6940099959132481,10.000292578356884
endorsed,Wu-endorsed candidate share,first-suffolk,First Suffolk,Latoya Gayle,wu_2021_preliminary_share,2021 preliminary,82,20381,0.37507255927179584,0.3428398635101573,0.08840207179246273,0.16787322432744395,0.34168657221092874,6.519261722625762,0.40580450339186,0.47099712061811766,3.7507255927179584
endorsed,Wu-endorsed candidate share,first-suffolk,First Suffolk,Latoya Gayle,wu_2021_final_share,2021 final,82,20381,0.6801874063557758,0.06390120337560706,0.6655429545849674,0.47380331614717597,0.7050239293139191,15.727334916587916,0.38617625210852036,0.5434496012743995,6.801874063557758
endorsed,Wu-endorsed candidate share,first-suffolk,First Suffolk,Latoya Gayle,wu_2025_preliminary_share,2025 preliminary,82,20381,0.8577800163542564,-0.10298399455271129,0.7716618404439736,0.5743002910789112,0.7465105526544822,14.771852099066402,0.38963931852121136,0.5373578395118754,8.577800163542564
endorsed,Wu-endorsed candidate share,suffolk-middlesex,Suffolk and Middlesex,Daniel Lander,wu_2021_preliminary_share,2021 preliminary,35,8500,0.627079526212945,0.27782407459062713,0.3103747006225196,0.48392691951896394,0.5449949443882709,3.8294508101805356,0.581284738004269,0.6195792461060744,6.27079526212945
endorsed,Wu-endorsed candidate share,suffolk-middlesex,Suffolk and Middlesex,Daniel Lander,wu_2021_final_share,2021 final,35,8500,0.5438027925908545,0.1957689014192956,0.3189110871255335,0.6990917032523067,0.8172456447788887,6.425244335777182,0.575936921924997,0.6401893652827688,5.438027925908545
endorsed,Wu-endorsed candidate share,suffolk-middlesex,Suffolk and Middlesex,Daniel Lander,wu_2025_preliminary_share,2025 preliminary,35,8500,0.8080212627127022,-0.057766686840514336,0.348016266109069,0.7779667721518988,0.8638639797261075,6.940677012760721,0.570847006742188,0.6402537768697952,8.080212627127022
endorsed,Wu-endorsed candidate share,norfolk-suffolk,Norfolk and Suffolk,Michael Rush,wu_2021_preliminary_share,2021 preliminary,39,16146,-1.334642203229751,0.9159300653818896,0.8320840935402789,0.28979168938815575,0.4545190319130361,-21.985206335958814,0.5291618465792098,0.30930978321962166,-13.34642203229751
endorsed,Wu-endorsed candidate share,norfolk-suffolk,Norfolk and Suffolk,Michael Rush,wu_2021_final_share,2021 final,39,16146,-0.8178588154648049,0.9225722446852318,0.8292505706765989,0.4748133222709494,0.7494239631336406,-22.459273344999154,0.5342419833658045,0.3096492499158129,-8.178588154648049
endorsed,Wu-endorsed candidate share,norfolk-suffolk,Norfolk and Suffolk,Michael Rush,wu_2025_preliminary_share,2025 preliminary,39,16146,-1.0000292578356884,1.144161083516813,0.8130187144503955,0.6012441687394487,0.8381465570758114,-23.69093195875148,0.5428993236742666,0.3059900040867518,-10.000292578356884
