old_precinct_id,current_precinct_id,population_2020,housing_units_2020,land_area_sq_m_2020,census_block_count,old_population_2020,old_housing_units_2020,old_land_area_sq_m_2020,allocation_weight,weight_basis,source_piece_count,target_source_count
BOS-19-3,BOS-19-4,390,181,46188,1,1469,707,516138,0.26548673,2020 population,3,2
BOS-19-4,BOS-19-4,1985,903,258271,17,1985,903,258271,1.0,2020 population,1,2
BOS-19-5,BOS-19-5,1873,975,264267,11,1873,975,264267,1.0,2020 population,1,1
BOS-19-6,BOS-19-6,2165,1094,366910,26,2165,1094,366910,1.0,2020 population,1,1
BOS-19-7,BOS-11-8,16,1,4642,1,2640,1083,2144853,0.00606061,2020 population,3,2
BOS-19-7,BOS-19-7,2078,913,1376418,21,2640,1083,2144853,0.78712121,2020 population,3,2
BOS-19-7,BOS-19-9,546,169,763793,19,2640,1083,2144853,0.20681818,2020 population,3,3
BOS-19-8,BOS-19-8,1121,498,220220,10,1121,498,220220,1.0,2020 population,1,2
BOS-19-9,BOS-19-2,0,0,11926,1,1042,511,181888,0.0,2020 population,3,2
BOS-19-9,BOS-19-8,314,124,59213,2,1042,511,181888,0.30134357,2020 population,3,2
BOS-19-9,BOS-19-9,728,387,110749,6,1042,511,181888,0.69865643,2020 population,3,3
BOS-20-1,BOS-20-1,2183,847,425554,19,2183,847,425554,1.0,2020 population,1,1
BOS-20-10,BOS-20-10,2897,1198,1053345,38,2897,1198,1053345,1.0,2020 population,1,2
BOS-20-11,BOS-20-11,1014,445,314230,14,1014,445,314230,1.0,2020 population,1,1
BOS-20-12,BOS-20-12,1387,536,447124,21,1387,536,447124,1.0,2020 population,1,1
BOS-20-13,BOS-20-13,1169,526,318882,14,1169,526,318882,1.0,2020 population,1,1
BOS-20-14,BOS-20-14,1223,479,443273,19,1223,479,443273,1.0,2020 population,1,1
BOS-20-15,BOS-20-15,2580,1089,861611,40,2580,1089,861611,1.0,2020 population,1,1
BOS-20-16,BOS-20-16,2638,1257,903880,38,2638,1257,903880,1.0,2020 population,1,1
BOS-20-17,BOS-20-17,2746,1219,3063429,62,2746,1219,3063429,1.0,2020 population,1,1
BOS-20-18,BOS-20-18,1321,614,369052,12,1321,614,369052,1.0,2020 population,1,1
BOS-20-19,BOS-20-19,1420,556,376701,31,1420,556,376701,1.0,2020 population,1,1
BOS-20-2,BOS-20-2,2421,1065,427114,27,2421,1065,427114,1.0,2020 population,1,1
BOS-20-20,BOS-20-20,2807,1484,1068069,28,2807,1484,1068069,1.0,2020 population,1,1
BOS-20-3,BOS-20-10,0,0,2497,2,2720,1237,1259371,0.0,2020 population,3,2
BOS-20-3,BOS-20-21,291,181,156188,3,2720,1237,1259371,0.10698529,2020 population,3,1
BOS-20-3,BOS-20-3,2429,1056,1100686,14,2720,1237,1259371,0.89301471,2020 population,3,1
BOS-20-4,BOS-20-4,1657,738,386573,17,1657,738,386573,1.0,2020 population,1,1
BOS-20-5,BOS-20-5,2200,1004,1601446,35,2200,1004,1601446,1.0,2020 population,1,1
BOS-20-6,BOS-20-6,2012,940,1207221,33,2012,940,1207221,1.0,2020 population,1,1
BOS-20-7,BOS-20-7,1310,578,357024,19,1310,578,357024,1.0,2020 population,1,1
BOS-20-8,BOS-20-8,1609,676,316853,21,1609,676,316853,1.0,2020 population,1,1
BOS-20-9,BOS-20-9,1969,831,408001,24,1969,831,408001,1.0,2020 population,1,1
BOS-21-1,BOS-21-1,4647,2638,295905,27,4647,2638,295905,1.0,2020 population,1,1
BOS-21-10,BOS-21-10,2301,1267,143696,13,2301,1267,143696,1.0,2020 population,1,1
BOS-21-11,BOS-21-11,2804,1360,195843,10,2804,1360,207276,1.0,2020 population,3,1
BOS-21-11,BOS-21-12,0,0,4604,1,2804,1360,207276,0.0,2020 population,3,2
BOS-21-11,BOS-21-13,0,0,6829,1,2804,1360,207276,0.0,2020 population,3,2
BOS-21-12,BOS-21-12,2543,1391,158490,15,2543,1391,158490,1.0,2020 population,1,2
BOS-21-13,BOS-21-13,3152,1772,259984,16,3152,1772,259984,1.0,2020 population,1,2
BOS-21-14,BOS-21-14,1682,919,103754,9,1682,919,103754,1.0,2020 population,1,1
BOS-21-15,BOS-21-15,2000,1218,104223,11,2000,1218,105681,1.0,2020 population,2,1
BOS-21-15,BOS-21-16,0,0,1458,1,2000,1218,105681,0.0,2020 population,2,3
BOS-21-16,BOS-21-16,6175,1744,783215,16,6175,1744,783215,1.0,2020 population,1,3
BOS-21-2,BOS-21-2,5699,478,503085,49,5699,478,503085,1.0,2020 population,1,1
BOS-21-3,BOS-21-3,3923,1978,277251,25,3923,1978,277251,1.0,2020 population,1,1
BOS-21-4,BOS-21-4,2933,1281,230930,13,2933,1281,235306,1.0,2020 population,2,1
BOS-21-4,BOS-21-5,0,0,4376,2,2933,1281,235306,0.0,2020 population,2,3
BOS-21-5,BOS-21-5,2948,1485,175133,16,2948,1485,175133,1.0,2020 population,1,3
BOS-21-6,BOS-21-6,2023,771,259794,18,2023,771,259794,1.0,2020 population,1,1
BOS-21-7,BOS-21-5,0,0,6603,1,2703,1344,184728,0.0,2020 population,4,3
BOS-21-7,BOS-21-7,2703,1344,170778,7,2703,1344,184728,1.0,2020 population,4,1
BOS-21-7,BOS-21-8,0,0,3380,1,2703,1344,184728,0.0,2020 population,4,2
BOS-21-7,BOS-21-9,0,0,3967,1,2703,1344,184728,0.0,2020 population,4,2
BOS-21-8,BOS-21-8,3255,1846,142228,20,3255,1846,142228,1.0,2020 population,1,2
BOS-21-9,BOS-21-9,3495,1921,457555,21,3495,1921,457555,1.0,2020 population,1,2
BOS-22-1,BOS-22-1,4222,1910,2076857,69,4222,1910,2076857,1.0,2020 population,1,1
BOS-22-10,BOS-22-10,2279,1021,408157,15,2279,1021,408157,1.0,2020 population,1,1
BOS-22-11,BOS-22-11,1663,623,459258,23,1663,623,459258,1.0,2020 population,1,1
BOS-22-12,BOS-22-12,2206,822,619228,21,2206,822,619228,1.0,2020 population,1,1
BOS-22-13,BOS-22-13,1513,597,260770,11,1513,597,260770,1.0,2020 population,1,1
BOS-22-2,BOS-22-2,4033,1697,609557,33,4033,1697,609557,1.0,2020 population,1,1
BOS-22-3,BOS-22-3,3034,1281,404033,27,3034,1281,404033,1.0,2020 population,1,1
BOS-22-4,BOS-22-4,2067,924,325522,16,2067,924,325522,1.0,2020 population,1,1
BOS-22-5,BOS-22-5,2864,1303,798619,34,2864,1303,798619,1.0,2020 population,1,1
BOS-22-6,BOS-22-6,1862,826,173236,20,1862,826,173236,1.0,2020 population,1,1
BOS-22-7,BOS-22-7,2455,1016,348857,12,2455,1016,348857,1.0,2020 population,1,1
BOS-22-8,BOS-21-16,0,0,3199,2,2191,974,604258,0.0,2020 population,2,3
BOS-22-8,BOS-22-8,2191,974,601059,20,2191,974,604258,1.0,2020 population,2,1
BOS-22-9,BOS-22-9,2347,1071,332239,12,2347,1071,332239,1.0,2020 population,1,1
