old_precinct_id,current_precinct_id,population_2020,housing_units_2020,land_area_sq_m_2020,census_block_count,old_population_2020,old_housing_units_2020,old_land_area_sq_m_2020,allocation_weight,weight_basis,source_piece_count,target_source_count
BOS-07-3,BOS-07-3,2512,1379,259861,22,2512,1379,259861,1.0,2020 population,1,1
BOS-07-4,BOS-07-4,2108,1008,130924,15,2108,1008,130924,1.0,2020 population,1,1
BOS-07-5,BOS-07-5,2041,1058,545659,40,2041,1058,548176,1.0,2020 population,2,1
BOS-07-5,BOS-08-6,0,0,2517,1,2041,1058,548176,0.0,2020 population,2,8
BOS-07-6,BOS-07-6,2216,1105,224352,29,2216,1105,224352,1.0,2020 population,1,1
BOS-07-7,BOS-07-7,2669,1252,532619,20,2669,1252,532619,1.0,2020 population,1,1
BOS-07-8,BOS-07-8,2151,1229,648511,24,2151,1229,648511,1.0,2020 population,1,2
BOS-07-9,BOS-07-9,1796,804,329547,12,1796,804,329547,1.0,2020 population,1,1
BOS-08-1,BOS-08-1,1282,847,122008,10,2281,1403,543608,0.5620342,2020 population,3,2
BOS-08-1,BOS-08-2,502,290,18142,2,2281,1403,543608,0.22007891,2020 population,3,2
BOS-08-1,BOS-08-6,497,266,403458,24,2281,1403,543608,0.21788689,2020 population,3,8
BOS-08-2,BOS-08-1,996,639,57244,5,4522,1983,649077,0.22025652,2020 population,4,2
BOS-08-2,BOS-08-2,1697,786,227065,12,4522,1983,649077,0.37527643,2020 population,4,2
BOS-08-2,BOS-08-4,897,557,40991,7,4522,1983,649077,0.19836356,2020 population,4,3
BOS-08-2,BOS-08-6,932,1,323777,21,4522,1983,649077,0.20610349,2020 population,4,8
BOS-08-3,BOS-08-3,908,405,109002,9,2426,946,467435,0.37427865,2020 population,4,3
BOS-08-3,BOS-08-4,1291,447,155148,9,2426,946,467435,0.53215169,2020 population,4,3
BOS-08-3,BOS-08-6,227,94,202256,18,2426,946,467435,0.09356966,2020 population,4,8
BOS-08-3,BOS-09-3,0,0,1029,1,2426,946,467435,0.0,2020 population,4,3
BOS-08-4,BOS-08-3,547,194,44844,2,1185,427,199882,0.46160338,2020 population,2,3
BOS-08-4,BOS-08-4,638,233,155038,19,1185,427,199882,0.53839662,2020 population,2,3
BOS-08-5,BOS-08-5,2393,847,256715,22,2393,847,256715,1.0,2020 population,1,2
BOS-08-6,BOS-08-5,698,244,115742,10,987,428,534614,0.70719352,2020 population,2,2
BOS-08-6,BOS-08-6,289,184,418872,22,987,428,534614,0.29280648,2020 population,2,8
BOS-08-7,BOS-08-3,1484,559,167499,12,1648,609,185491,0.90048544,2020 population,2,3
BOS-08-7,BOS-08-6,164,50,17992,2,1648,609,185491,0.09951456,2020 population,2,8
BOS-09-1,BOS-09-1,2545,1383,145792,23,2545,1383,145792,1.0,2020 population,1,2
BOS-09-2,BOS-09-1,153,76,9147,3,3026,1651,146747,0.0505618,2020 population,3,2
BOS-09-2,BOS-09-2,2300,1253,110956,13,3026,1651,146747,0.76007931,2020 population,3,1
BOS-09-2,BOS-09-6,573,322,26644,4,3026,1651,146747,0.18935889,2020 population,3,2
BOS-09-3,BOS-09-3,2879,1220,187808,13,5100,2395,305035,0.5645098,2020 population,2,3
BOS-09-3,BOS-09-6,2221,1175,117227,14,5100,2395,305035,0.4354902,2020 population,2,2
BOS-09-4,BOS-09-3,409,210,55239,5,6143,2200,477502,0.06657985,2020 population,3,3
BOS-09-4,BOS-09-4,1352,1122,129974,13,6143,2200,477502,0.2200879,2020 population,3,2
BOS-09-4,BOS-09-7,4382,868,292289,30,6143,2200,477502,0.71333225,2020 population,3,1
BOS-09-5,BOS-09-4,848,456,346150,16,3120,1503,666652,0.27179487,2020 population,2,2
BOS-09-5,BOS-09-5,2272,1047,320502,24,3120,1503,666652,0.72820513,2020 population,2,1
BOS-10-1,BOS-10-1,1562,760,88895,11,1562,760,88895,1.0,2020 population,1,1
BOS-10-2,BOS-10-2,2742,1133,164982,10,2742,1133,164982,1.0,2020 population,1,1
BOS-10-3,BOS-10-3,2314,947,187334,16,2314,947,187334,1.0,2020 population,1,1
BOS-10-4,BOS-10-4,3624,1677,211369,20,3624,1677,211369,1.0,2020 population,1,2
BOS-10-5,BOS-10-5,2838,1029,361835,18,2838,1029,361835,1.0,2020 population,1,1
BOS-10-6,BOS-10-6,2137,694,229591,16,2137,694,229591,1.0,2020 population,1,1
BOS-10-7,BOS-10-7,2843,1200,199196,18,2843,1200,199196,1.0,2020 population,1,1
BOS-10-8,BOS-10-4,0,0,991,1,3329,1862,461601,0.0,2020 population,2,2
BOS-10-8,BOS-10-8,3329,1862,460610,12,3329,1862,461601,1.0,2020 population,2,1
BOS-10-9,BOS-10-9,2900,1362,340578,14,2900,1362,340578,1.0,2020 population,1,2
BOS-11-1,BOS-11-1,1501,634,337200,20,1501,634,337200,1.0,2020 population,1,1
BOS-11-10,BOS-11-10,1813,864,215606,12,1813,864,216652,1.0,2020 population,2,1
BOS-11-10,BOS-19-9,0,0,1046,1,1813,864,216652,0.0,2020 population,2,3
BOS-11-2,BOS-11-2,2476,982,311421,15,2476,982,311421,1.0,2020 population,1,1
BOS-11-3,BOS-11-3,1979,827,220172,8,1979,827,220172,1.0,2020 population,1,1
BOS-11-4,BOS-11-4,3311,1377,386105,27,3311,1377,386105,1.0,2020 population,1,1
BOS-11-5,BOS-11-5,2732,1303,227774,16,2732,1303,227774,1.0,2020 population,1,1
BOS-11-6,BOS-11-6,1594,690,251103,21,1594,690,251103,1.0,2020 population,1,1
